Age,Taxa,Continent,Lat,Long
2120,bison,North America,30.717811857352643,-99.22642753028826
2020,bison,North America,30.717811857352643,-99.22642753028826
5010,bison,North America,32.613257006291,-105.74147581395724
2110,bison,North America,30.717811857352643,-99.22642753028826
2130,bison,North America,30.717811857352643,-99.22642753028826
2200,bison,North America,30.717811857352643,-99.22642753028826
290,Bison tibia processed using ultrafiltration,North America,31.704906918591124,-98.11095525748577
250,Bison humerus processed with ultrafiltration,North America,31.704906918591124,-98.11095525748577
290,Bison patella processed using ultrafiltration,North America,31.704906918591124,-98.11095525748577
2090,Bison calcaneous process using ultrafiltration,North America,31.704906918591124,-98.11095525748577
240,Bison,North America,40.61842650972838,-108.2075710446147
1930,Bison,North America,45.423339416523476,-107.48994234953656
2100,Bison-size limb,North America,45.423339416523476,-107.48994234953656
1970,Bison,North America,45.423339416523476,-107.48994234953656
1960,Bison,North America,45.423339416523476,-107.48994234953656
2040,Bison,North America,45.423339416523476,-107.48994234953656
1660,Bison sp.,North America,45.1565573225273,-100.87185360079333
3900,Homo sapiens,North America,37.28524786798782,-111.88792356707897
260,Bison bone pelves,North America,48.705013611904945,-112.99468952260627
340,Bison,North America,31.704906918591124,-98.11095525748577
270,Bison,North America,31.704906918591124,-98.11095525748577
290,Bison,North America,31.704906918591124,-98.11095525748577
290,Bison,North America,31.704906918591124,-98.11095525748577
310,Bison,North America,31.704906918591124,-98.11095525748577
5010,Bison tooth,North America,44.820751268687495,-93.80269438808831
2140,bison calcaneus left,North America,30.717811857352643,-99.22642753028826
2280,bison femur frag left distal,North America,30.717811857352643,-99.22642753028826
2190,bison femur frag left distal,North America,30.717811857352643,-99.22642753028826
2120,bison calcaneus left,North America,30.717811857352643,-99.22642753028826
2170,bison astragulas left,North America,30.717811857352643,-99.22642753028826
2100,bison femur frag right proximal,North America,30.717811857352643,-99.22642753028826
2060,Homo sapiens,Africa,-33.73,18.4399
1890,Homo sapiens,Africa,-33.7227,18.444
1910,Homo sapiens,Africa,-33.7227,18.444
1180,Homo sapiens,Africa,-33.7227,18.444
2100,Bison sp. tooth enamel (155 g) apatite,North America,46.239934968709576,-119.51144685938844
1840,Bison,North America,45.423339416523476,-107.48994234953656
2240,collagen rib Bison,North America,,
5570,collagen bison petrosal,North America,45.580384315336744,-103.49587210430926
9060,Bison,North America,30.061546938018445,-99.35030560642275
330,Bison Hide,North America,39.64821859709495,-110.58882346493124
280,bison collagen,North America,33.18009063508076,-101.29843489737952
3090,Homo sapiens paleofece,North America,37.941318865025266,-83.59845789916407
3100,Homo sapiens paleofece,North America,37.941318865025266,-83.59845789916407
9980,Bison antiquus 2nd phalanx,North America,46.14838217500926,-112.0937216658235
7680,Homo sapiens,North America,37.62613636591383,-109.8047757979883
1300,bison sesamoid,North America,41.69465016061481,-106.93076666910247
8090,Bison collagen,North America,40.10264850484984,-106.11842895572944
4200,Homo sapiens coprolite,North America,39.93383630599707,-117.03802935653871
3310,Homo sapiens,North America,40.448815152816834,-113.13104748728868
10410,Bison cf. antiquus molar fragment,North America,46.33263301246554,-111.49541065959812
9963,Bison antiquus,North America,33.61028003632146,-101.82043197977373
10440,collagen Bison antiquus,North America,38.666738161992456,-107.0319357890355
10295,collagen Bison antiquus,North America,38.666738161992456,-107.0319357890355
95,Bison,North America,32.30613223199503,-101.95120612446769
200,Bison,North America,32.30613223199503,-101.95120612446769
9040,bison femur collagen,North America,41.61951424121355,-102.33543178408036
725,Bison moccasin,North America,41.521136425661595,-113.08192018546659
115,Homo sapiens coprolite,North America,39.93383630599707,-117.03802935653871
1900,Homo sapiens coprolite,North America,39.93383630599707,-117.03802935653871
1805,Homo sapiens coprolite,North America,39.93383630599707,-117.03802935653871
1745,Homo sapiens coprolite,North America,39.93383630599707,-117.03802935653871
1855,Homo sapiens coprolite,North America,39.93383630599707,-117.03802935653871
885,Homo sapiens coprolite,North America,39.93383630599707,-117.03802935653871
1895,Homo sapiens coprolite,North America,39.93383630599707,-117.03802935653871
9160,Cervical Vertebrae from Bison,North America,36.78884189926347,-99.66754831181991
10240,Bison collagen,North America,40.10264850484984,-106.11842895572944
10470,Bison collagen,North America,40.10264850484984,-106.11842895572944
11440,tooth gelatin bisonà,North America,34.070551041387645,-101.82687297930246
10170,tooth gelatin bisonà,North America,34.070551041387645,-101.82687297930246
10660,tooth gelatin bisonà,North America,34.070551041387645,-101.82687297930246
9110,tooth gelatin bisonà,North America,34.070551041387645,-101.82687297930246
8380,tooth gelatin bisonà,North America,34.070551041387645,-101.82687297930246
8790,tooth gelatin bisonà,North America,34.070551041387645,-101.82687297930246
2310,Bison XAD-gelatin (KOH-collagen),North America,40.788110718736284,-89.75987040212333
490,Bison XAD-gelatin (KOH-collagen),North America,40.788110718736284,-89.75987040212333
245,Bison bison bone collagen,North America,38.96985206027308,-84.72788417236082
260,Bison bison bone collagen,North America,38.96985206027308,-84.72788417236082
6790,bison collagen,North America,45.4440652784308,-93.77478137516954
6730,bison collagen,North America,45.4440652784308,-93.77478137516954
2370,Bison,North America,40.788110718736284,-89.75987040212333
2370,Bison XAD-gelatin (KOH-collagen),North America,40.788110718736284,-89.75987040212333
2270,Bison XAD-gelatin (KOH-collagen),North America,40.788110718736284,-89.75987040212333
2280,Bison XAD-gelatin (KOH-collagen),North America,40.788110718736284,-89.75987040212333
11230,mammoth,North America,42.578547369704864,-87.6532070740192
11220,mammoth,North America,42.578547369704864,-87.6532070740192
11240,mammoth,North America,42.578547369704864,-87.6532070740192
10520,bison humerus XAD gelatin and KOH collagen,North America,36.60621617427868,-104.64697987547599
10450,bison humerus XAD gelatin and KOH collagen,North America,36.60621617427868,-104.64697987547599
10500,bison molar XAD gelatin and KOH collagen,North America,36.60621617427868,-104.64697987547599
